   53664.853878   -1264.8127     741.8404   -1267.2550     741.8622    0.5463
   53664.967024   -1259.1219     855.7975   -1263.0258     855.8095    0.5496
   53665.135061   -1565.5067     819.6247   -1565.3993     819.6322    0.6444
   53665.832332   -1114.1815     754.2279   -1118.9672     754.2505    0.4262
   53666.825980    -697.2551     859.0589    -699.3306     859.0674    0.3777
   53666.968992    -707.7390     986.3526    -715.3546     986.3641    0.3066
   53667.854443   -1818.7951     738.8661   -1818.9041     738.8864    0.7243
   53667.980064      57.8536     909.0684      42.9136     909.0854    0.0112
   53671.322626    2359.8523    1075.8650    2340.1575    1075.8852    0.5097
   53675.011445    -701.3703     841.1365    -707.1471     841.1492    0.3147
   53676.972978    -578.2780     748.5508    -580.1976     748.5700    0.3850
   53677.976332    -904.8953     852.7336    -915.5516     852.7480    0.2392
   53678.976952      31.1503    1183.6205      32.1041    1183.6351    0.0143
   53679.964436     125.8029    1191.8429     125.7651    1191.8614    0.0784
   53680.167131    -602.1261     951.9515    -606.2589     951.9598    0.1947
   53680.861570    -315.4060     852.9835    -321.3485     852.9920    0.1281
   53680.963556    -130.7362     812.4350    -133.7584     812.4488    0.0729
   53681.844134      84.3601     785.8948      68.1427     785.9086    0.0138
   53682.878460    2823.2403    1058.2966    2785.9072    1058.3264    0.3588
   53684.000010    -701.4315     745.2900    -701.1436     745.3078    0.4323
   53684.971818    -439.8391     951.2172    -444.0970     951.2291    0.2193
   53694.980500      -4.1558     767.3743      -7.2395     767.3917    0.0051
   53695.970776   -1674.4984     777.9299   -1749.9872     777.9781    0.1759
   53698.978875   -1470.5230     893.0158   -1488.6275     893.0334    0.2701
   53706.843868     620.0636     913.9644     614.9930     913.9751    0.2832
   53706.976008     461.0377     954.4301     457.0103     954.4394    0.2232
   53707.875403    1752.9384     828.4200    1735.6287     828.4387    0.3942
   53707.967968     735.0635     694.3987     665.7970     694.4914    0.0989
   53708.826614    1124.5164     706.0621    1114.5025     706.0878    0.3855
   53712.842098    2248.1722    1130.5487    2238.6192    1130.5666    0.4990
   53712.878108    1664.6218    1142.5949    1662.9750    1142.6088    0.5526
   53714.019653     823.2295    1039.7281     819.8838    1039.7396    0.4278
   53714.818549     258.7012    1143.2384     254.0073    1143.2561    0.1307
   53717.981794   -1401.7607     808.3026   -1406.2242     808.3191    0.4825
   53726.817166    1758.4725     830.9715    1742.5639     830.9885    0.4153
   53726.976577    1461.0436     914.1027    1460.8397     914.1084    0.6481
   53728.829957    1044.1334     920.3035    1037.1909     920.3136    0.3542
   53728.969178    1490.6317     956.3089    1486.3725     956.3181    0.5888
   53730.822405    1782.8702     951.4599    1776.7045     951.4709    0.6559
   53734.822374    2146.2512     793.2487    2144.4761     793.2573    0.7659
   53734.965526    3030.3031    1144.5588    3026.1659    1144.5764    0.8486
   53735.841266    2602.9258     772.3810    2577.1624     772.3953    0.3783
   53735.973014    2246.8360    1044.9154    2238.2740    1044.9293    0.6225
   53737.832088    2208.6726    1222.7346    2198.1856    1222.7606    0.5571
   53737.991185    5367.8522    1379.6108    5341.7963    1379.6617    0.7344
   53756.822887    3150.2558    1295.8732    3134.2865    1295.9106    0.6904
   53766.853972     394.2134     722.4108     389.6593     722.4360    0.1363
   53966.139752      -0.0000         -nan       0.0000         -nan      -nan
   53967.130524      -0.0000         -nan       0.0000         -nan      -nan
   53968.072106   -3521.6572     859.5862   -3525.1140     859.5951    0.6093
   53968.164800    2481.0703     955.5319    2477.8842     955.5392    0.8317
   53968.977293    1092.9093    1162.4162    1079.5578    1162.4416    0.3855
   53969.170740     396.6177    1078.8475     387.2455    1078.8633    0.1643
   53969.990296    1947.7946     817.9889    1944.9213     817.9969    0.7479
   53971.983848    1026.1984     945.2544    1020.4152     945.2651    0.4169
   53972.962527    1106.5686     849.1368    1104.2748     849.1437    0.4908
   53973.038534     821.6961     832.9620     817.7430     832.9705    0.3710
   53974.062160     258.2121    1001.9833     249.1664    1001.9977    0.0938
   53974.991542     969.4541     725.3920     966.6678     725.4071    0.3824
   53975.964037    1391.5513     737.3496    1387.2320     737.3611    0.3985
   53976.064261     227.2996     712.4059     229.0889     712.4213    0.0971
   53979.003510     476.8699     877.2569     471.9874     877.2663    0.2264
   53979.088479    -107.6155     819.8288    -109.3065     819.8360    0.0580
   53979.170282     513.2946     815.6178     510.8719     815.6253    0.2289
   53980.117609    -105.7099     809.9052    -110.2913     809.9166    0.0398
   53980.988993     745.1739     710.0621     742.4052     710.0769    0.2546
   53982.939051    2405.2227    1382.7840    2365.5378    1382.8420    0.3349
   53983.977704    1285.7334     841.8259    1281.8895     841.8335    0.4546
