   53629.130413    -578.5683     653.6511    -591.7542     653.7562    0.2333
   53646.144171   -1083.0794     805.4017   -1100.9873     805.5298    0.4233
   53647.969764   -1030.1257     804.0368   -1036.5741     804.1534    0.4021
   53648.966688   -1079.3958     641.1552   -1083.8075     641.2499    0.5164
   53649.129686    -904.9913     607.0506    -910.0783     607.1475    0.4066
   53653.974556   -1898.9133     859.7466   -1910.9134     859.8740    0.6864
   53654.140809    1180.3682     841.3922    1171.6260     841.5109    0.4340
   53656.129683   -1157.2168     713.8208   -1166.6176     713.9303    0.5401
   53657.129944    -701.8854     726.3269    -712.2406     726.4401    0.3495
   53661.132064   -2939.7399     796.0906   -2985.9795     796.2387    0.5044
   53661.176851    2862.8047     772.7784    2354.8642     773.2337    0.1295
   53662.141793   -1109.3603     686.1568   -1122.0074     686.2627    0.4508
   53664.162692    -637.6275     763.3566    -643.3188     763.4694    0.3419
   53664.853878    -231.3034     669.1931    -237.9175     669.2934    0.1288
   53664.967024   -1439.8534     783.3243   -1446.7937     783.4354    0.5860
   53665.135061    -456.3490     744.8371    -466.1741     744.9496    0.2183
   53665.832332    -202.0857     693.2619    -215.8890     693.3679    0.0888
   53666.825980     361.5644     778.7321     355.9447     778.8457    0.2100
   53666.968992    -724.4635     816.1628    -730.7437     816.2812    0.4314
   53667.854443    -306.6041     663.8771    -313.4177     663.9821    0.1807
   53667.980064   -1411.2778     815.6743   -1425.5707     815.7938    0.4219
   53671.322626     733.1606     761.1031     715.0806     761.2164    0.2964
   53675.011445    -569.6426     755.6173    -579.8966     755.7383    0.3199
   53676.972978    -298.5567     678.7166    -296.8765     678.8107    0.2360
   53677.976332    1161.1262     767.9761    1140.7981     768.0979    0.2931
   53678.976952    1121.0991     748.3124    1127.3454     748.3893    0.6441
   53679.964436     910.9059     743.6441     907.2807     743.7310    0.6050
   53680.167131    -218.4059     861.1668    -225.3144     861.2910    0.0724
   53680.861570    -903.0772     798.4785    -915.2202     798.6061    0.3390
   53680.963556      86.0993     742.7774      87.8648     742.8772    0.0430
   53681.844134     557.6803     721.8304     536.7654     721.9417    0.1133
   53682.878460    1971.7015     798.6164    1875.5460     798.7896    0.2562
   53684.000010     356.6384     679.0205     352.5190     679.1212    0.2159
   53684.971818     982.5540     806.7745     973.9454     806.8913    0.4756
   53694.980500     385.7586     703.9285     388.6831     704.0294    0.2455
   53695.970776    -705.6458         -nan     653.0331     719.1428    0.0719
   53698.978875    -646.9819     806.9962    -680.9139     807.1389    0.1485
   53706.843868     675.5364     828.0303     681.6562     828.1362    0.3433
   53706.976008     705.1808     830.8635     706.7368     830.9757    0.3280
   53707.875403    1751.7908     761.3717    1756.8996     761.4565    0.3234
   53707.967968   -1555.7711     621.9204   -1559.1243     621.9876    0.2974
   53708.826614     650.9432     642.0463     648.3826     642.1646    0.2065
   53712.842098    -633.2183     760.3386    -644.2511     760.4370    0.1816
   53712.878108    -272.8120     772.3668    -276.4575     772.4642    0.2088
   53714.019653     366.9059     816.8206     372.9432     816.9232    0.2301
   53714.818549     900.7595     769.4152     901.0975     769.5100    0.5508
   53717.981794     683.2434     714.6814     676.3793     714.7834    0.2643
